ID,Name_EN,Name_RO,Category,Energy_Level
869,"Héliski Făgăraș (Freeride Vertical)","Heli-Schi în Făgăraș (Vertical Freeride)",winter,high
870,"Bicaz Gorges Ice Climbing","Escaladă pe Gheață în Cheile Bicazului",winter,high
936,"Tandem Skydive over the Black Sea (Tuzla)","Salt în Tandem deasupra Mării Negre (Tuzla)",adventure,high
937,"Tandem Skydive Luncani (Skydive Transilvania)","Salt în Tandem Luncani (Skydive Transilvania)",adventure,high
938,"Tandem Skydive Timișoara (GoJump LRSG)","Salt în Tandem Timișoara (GoJump LRSG)",adventure,high
939,"Cheile Râșnoavei Bungee Jump","Sări cu Bungee în Cheile Râșnoavei",adventure,high
940,"Adventure Park Brașov Mega Zip & Ropes","Parc de Aventură Brașov - Mega Zip și Frânghii",adventure,high
941,"Tandem Paragliding Clopotiva (Retezat)","Zbor în Tandem cu Parapanta la Clopotiva (Retezat)",adventure,high
942,"Seven Ladders Canyon Via Ferrata Sprint","Sprintul Via Ferrata în Canionul Șapte Scări",adventure,high
1018,"Therme București Full-Day Thermal Spa","Spa-ul Termal Therme București - Zi Întreagă",wellness,low
1019,"Aquapark Nymphaea Day Pass","Bilet de o Zi la Aquapark Nymphaea",wellness,medium
1020,"Ensana Sovata Spa & Saltwater Pools","Spa și Bazine cu Apă Sărată Ensana Sovata",wellness,low
1021,"Grand Santerra Spa Forest Thermal Session","Sesiune Termală în Pădure la Grand Santerra Spa",wellness,low
1022,"Old Town Wine Tasting at Abel's","Degustare de Vinuri în Centrul Vechi la Abel's",culinary,medium
1023,"LacertA Winery Tour & Tasting (Dealu Mare)","Tur și Degustare la LacertA Winery (Dealu Mare)",culinary,medium
1024,"Rhein Azuga 1892 Cellar Tour & Bubbles","Tur de Pivniță și Bule la Rhein Azuga 1892",culinary,medium
1025,"Cramele Recaș Estate Visit & Tasting","Vizită și Degustare la Cramele Recaș",culinary,medium
1026,"ASTRA Museum Hands-on Crafts Workshop","Atelier Hands-on de Meșteșuguri la Muzeul ASTRA",culture,medium
1027,"Village Museum Curated Guided Tour","Tur Ghidat Curatorial la Muzeul Satului",culture,medium
1028,"Meron Public Coffee Cupping (Cluj)","Degustare Publică de Cafea Meron (Cluj)",culinary,medium
1029,"Hands-on Cocktail Workshop (Bucharest)","Atelier Interactiv de Cocktailuri (București)",culinary,medium
1112,"Wheel Throwing Intro at Clay Play","Introducere în Modelarea la Roată la Clay Play",creative,medium
1113,"Paint-Your-Own Ceramics at Made by You","Pictează-ți Propria Ceramică la Made by You",creative,low
1114,"Guided Acrylic Painting (Art & Hobby Studio)","Pictură Acrilică Ghidată (Art & Hobby Studio)",creative,medium
1115,"Jewelry Making Fundamentals (Assamblage School)","Fundamentele Realizării Bijuteriilor (Assamblage School)",creative,medium
1117,"Leathercraft: Hand-Stitched Wallet at Urban Bag","Prelucrarea Pielii: Portofel Cusut Manual la Urban Bag",creative,medium
1118,"Modern Calligraphy at Seneca AntiCafe","Caligrafie Modernă la Seneca AntiCafe",creative,low
1119,"Woodworking Basics at NOD Makerspace","Noțiuni de Tâmplărie la NOD Makerspace",creative,medium
1120,"Traditional Embroidery at Casa cu Rost","Broderie Tradițională la Casa cu Rost",creative,low
1121,"Ceramics Hand-Building (Alimeria Ceramics)","Ceramică modelată manual (Alimeria Ceramics)",creative,medium
1122,"Paint-Your-Own Ceramics (Caferamica Iași)","Pictează-ți Propria Ceramică (Caferamica Iași)",creative,low
1123,"Maker Induction & Studio Access (FIX Makerspace)","Inițiere și Acces în Atelier (FIX Makerspace)",creative,medium
1124,"Sip & Paint Night (PaintandParty.ro)","Seară de Pictat (PaintandParty.ro)",creative,medium
1218,"Wheel Throwing Starter at Em Chang Studio","Inițiere la Roata de Ceramică la Em Chang Studio",creative,medium
1219,"Botanical Watercolor with Irina Neacșu","Acuarelă Botanică cu Irina Neacșu",creative,medium
1220,"Sewing & Patternmaking Basics (Atelierele ILBAH)","Noțiuni de Bază în Cusut și Croit (Atelierele ILBAH)",creative,medium
1221,"Stained Glass (Tiffany) Intro Workshop","Atelier Introductiv de Vitralii (Tehnică Tiffany)",creative,medium
1222,"Traditional Pottery at Ceramica de Nocrich","Ceramică Tradițională la Ceramica de Nocrich",creative,medium
1223,"Fashion Illustration After-Work (DallesGO)","Ilustrație Modă După Serviciu (DallesGO)",creative,medium
1224,"Adult Ceramics Starter (Școala Populară de Arte Cluj)","Ceramică pentru Adulți - Inițiere (Școala Populară de Arte Cluj)",creative,medium
1225,"Resin Art: Pour & Finish (NOD cursuri)","Artă cu Rășină: Turnare și Finisare (NOD cursuri)",creative,medium
1331,"321sport Community Run","Alergare Comunitară 321sport",social,medium
1332,"Vertical Spirit Social Climb Night","Seară Socială de Escaladă Vertical Spirit",social,high
1333,"Board Game Social at The Guild Hall","Seară Socială de Jocuri de Masă la The Guild Hall",social,low
1334,"Level Up Language Exchange Meetup","Schimb de Limbi Level Up",social,medium
1335,"Improteca Improv Jam Night","Seară de Improvizație Improteca",social,medium
1336,"Runners Club Cluj – Social Run","Clubul de Alergare Cluj - Alergare Socială",social,medium
1337,"Team Escape at Captive","Evadare în Echipă la Captive",social,medium
1338,"The Dungeon – Team Escape Night","Noaptea Evadării din Temnița – Echipă",social,medium
1339,"Impact Hub Community Friday","Vinerea Comunității Impact Hub",social,low
1340,"Social Ping-Pong at Ping Pong Academy","Ping-Pong Social la Ping Pong Academy",social,medium
1342,"Mojo's Weekly Pub Quiz (Social Teams)","Pub Quiz Săptămânal la Mojo (Echipe Sociale)",social,low
1343,"Volleyball Social Play – CCSS Tei","Volei Social – Joc CCSS Tei",social,high
1344,"Seneca AntiCafe – Board Game & Social Work Sesh","Seneca AntiCafe – Sesiune de Jocuri de Societate și Lucru Social",social,low
1457,"BlaBla Language Exchange (Iași)","Schimb Lingvistic BlaBla (Iași)",social,medium
1458,"Board Games Night at Harmony Cafe","Seară de Jocuri de Societate la Harmony Cafe",social,medium
1459,"Board Games Zone Social (Timișoara)","Zonă Socială Jocuri de Societate (Timișoara)",social,medium
1460,"ExitGames Team Escape (Timișoara)","Evadare în Echipă ExitGames (Timișoara)",social,medium
1461,"Pub Quiz Night at O'Peter's Irish Pub (Brașov)","Noaptea de Pub Quiz la O'Peter's Irish Pub (Brașov)",social,medium
1462,"Puzzle Punks Board-Games Social (Brașov)","Puzzle Punks - Social cu Jocuri de Societate (Brașov)",social,medium
1463,"BlaBla Language Exchange (Constanța)","Schimb Lingvistic BlaBla (Constanța)",social,medium
1464,"The Escapers Team Escape (Constanța)","The Escapers - Evadare în Echipă (Constanța)",social,medium
1590,"Toastmasters Public Speaking Night (Iași)","Noaptea de Vorbire Publică Toastmasters (Iași)",social,medium
1591,"Legend Pub Quiz Night","Noaptea de Pub Quiz Legend",social,medium
1592,"Retro Café Board-Game Social","Social cu Jocuri de Societate la Retro Café",social,medium
1593,"Toastmasters Public Speaking Night (Timișoara)","Noaptea de Vorbire Publică Toastmasters (Timișoara)",social,medium
1594,"Vineri 15 Riverfront Quiz Night","Noaptea de Quiz Vineri 15 pe Malul Râului",social,medium
1595,"Cowork Timișoara Language Hangout","Atelier Lingvistic Cowork Timișoara",social,medium
1596,"ZborHub Language Exchange (Brașov)","Schimb Lingvistic ZborHub (Brașov)",social,medium
1597,"Deane's Wednesday Pub Quiz (Brașov)","Pub Quiz-ul lui Deane (Brașov)",social,medium
1599,"Encanto Latin Social (Constanța)","Social Latin Encanto (Constanța)",social,high
1600,"NEXT DOOR Game Night (Constanța)","Seară de Jocuri NEXT DOOR (Constanța)",social,medium
1601,"Toastmasters Public Speaking Night (Constanța)","Seară de Vorbire Publică Toastmasters (Constanța)",social,medium
1735,"Control Club Electronic Night","Seară Electronică Control Club",nightlife,high
1736,"Expirat Halele Carol Live & DJ","Expirat Halele Carol Live & DJ",nightlife,high
1737,"Fratelli Studios High-End Clubbing","Clubbing de Lux Fratelli Studios",nightlife,high
1738,"Kristal Glam Club Techno Night","Seară Techno Kristal Glam Club",nightlife,high
1739,"BOA Beat of Angels Luxury Night","Seară Luxury BOA Beat of Angels",nightlife,high
1740,"Nomad Skybar Rooftop Evenings","Seri pe Acoperișul Nomad Skybar",nightlife,medium
1741,"Linea/Closer to the Moon Rooftop","Terasa Linea/Aproape de Lună",nightlife,medium
1742,"Corks Cozy Winebar Social Tasting","Degustare Socială la Corks Wine Bar",nightlife,medium
1743,"Abel's Wine Bar Discovery Night","Seara de Descoperire a Vinurilor la Abel's Wine Bar",nightlife,low
1744,"Mojo Music Club Karaoke Night","Noaptea de Karaoke la Mojo Music Club",nightlife,high
1745,"BERĂRIA H Live & Beer Hall","BERĂRIA H Live & Berărie",nightlife,high
1746,"Energiea Gastropub Social Night","Seara Socială la Energiea Gastropub",nightlife,medium
1747,"Green Hours Live Jazz Night","Seara de Jazz Live la Green Hours",nightlife,medium
1893,"Alt & Electronic Nights at Control Club","Seri Alternative și Electronice la Control Club",nightlife,
1894,"Tech-House Marathon at Kristal Glam Club","Maraton Tech-House la Kristal Glam Club",nightlife,
1895,"Student Night at Kulturhaus Bucharest","Noaptea Studenților la Kulturhaus București",nightlife,
1896,"BOA (Beat of Angels) Hip-Hop & R&B Night","BOA (Beat of Angels) - Noaptea de Hip-Hop & R&B",nightlife,
1897,"House Night at Fratelli Lounge & Club","Noaptea de House la Fratelli Lounge & Club",nightlife,
1898,"Rooftop Cocktails at NOMAD Skybar","Cocktailuri pe Acoperiș la NOMAD Skybar",nightlife,
1899,"Rooftop Sundowners at Linea / Closer to the Moon","Răsărit pe Acoperiș la Linea / Closer to the Moon",nightlife,
1900,"Live Band & Karaoke at Mojo Music Club","Trupă Live & Karaoke la Mojo Music Club",nightlife,
1901,"Intimate Jazz Night at Green Hours","Seară de Jazz Intimă la Green Hours",nightlife,
1902,"Stand-Up Night at The Fool Comedy Club","Seară de Stand-Up la The Fool Comedy Club",nightlife,
1903,"KIKI Lounge & Bar (LGBTQ+ friendly) Cocktails","Cocktailuri la KIKI Lounge & Bar (Prietenos LGBTQ+)",social,
1904,"Queens Club LGBTQ+ Night","Noaptea LGBTQ+ la Queens Club",nightlife,
1905,"Berăria H Beer Hall & Live Shows","Berăria H: Berărie și Spectacole Live",nightlife,
1906,"Hookah & Lounge at Macca-Villacrosse (Hugo)","Narghilea & Lounge la Pasajul Macca-Villacrosse (Hugo)",social,
1907,"Board-Game Evening at Snakes & Wizards","Seară de Jocuri de Societate la Snakes & Wizards",social,
1908,"Craft Beers at Beer O'Clock","Beri Artizanale la Beer O'Clock",nightlife,
1909,"Sports & Pints at St. Patrick Irish Pub","Sport și Bere la Pub-ul Irish St. Patrick",nightlife,
1910,"Alt-Rock & Indie Nights at Expirat","Seri de Rock Alternativ și Indie la Expirat",nightlife,
1911,"Live Jazz Sessions at The JAZZ BOOK","Sesiuni de Jazz Live la The JAZZ BOOK",nightlife,
1912,"Live Anthems at Hard Rock Cafe Bucharest","Imnuri Live la Hard Rock Cafe București",nightlife,
1913,"Peak Weekend at FACE Club","Vârful Weekendului la Clubul FACE",nightlife,
1914,"Foraged Cocktails at FIX Me a Drink","Cocktailuri Culese la FIX Me a Drink",nightlife,
1915,"Origo Cocktail Evenings (Old Town)","Serile de Cocktail Origo (Centrul Vechi)",nightlife,
1916,"High-Gloss Nights at E3 by Entourage","Nopți de Lux la E3 by Entourage",nightlife,
1917,"Uanderful: Floreasca Lounge & Late Drinks","Uanderful: Lounge & Băuturi Târzii Floreasca",nightlife,
1918,"City-High Cocktails at NOR Sky (SkyTower)","Cocktailuri la Înălțime la NOR Sky (SkyTower)",nightlife,
1919,"Sunset Rooftops at 18 Lounge (City Gate)","Terase la Apus la 18 Lounge (City Gate)",nightlife,
1920,"LINEA / Closer to the Moon Rooftop","LINEA / Mai Aproape de Lună - Terasă",nightlife,
1921,"Mojo: Karaoke & Live Band Nights","Mojo: Seri de Karaoke & Trupă Live",nightlife,
1922,"SHOTERIA Old Town: Rapid-Fire Shots","SHOTERIA Centrul Vechi: Shots cu Foc Rapid",nightlife,
1923,"Beluga: Music & Cocktails (Old Town)","Beluga: Muzică & Cocktailuri (Centrul Vechi)",nightlife,
1924,"Fire Club: Rock & Alternative","Fire Club: Rock & Alternative",nightlife,
1925,"St. Patrick Irish Pub: Sports & Pints","St. Patrick Irish Pub: Sport și Beri",nightlife,
1926,"Beer O'Clock: Craft & Imports","Beer O'Clock: Beri Artizanale și de Import",nightlife,
1927,"Bruno Wine Bar: Cellar Vibes","Bruno Wine Bar: Atmosferă de Cramă",nightlife,
1928,"Club Șurubelnița: Underground Party Bar","Club Șurubelnița: Bar de Petreceri Subterane",nightlife,
1929,"Quantic: Rock & Metal Live","Quantic: Rock și Metal Live",nightlife,
1930,"Infinity Hookah Lounge (Eminescu)","Infinity Hookah Lounge (Eminescu)",social,
1931,"Nova Lounge & Hookah (Ferdinand)","Nova Lounge & Hookah (Ferdinand)",social,
1932,"Trickshot Mega Mall: Bowling & Bar","Trickshot Mega Mall: Bowling și Bar",social,
1933,"Trickshot AFI Cotroceni: Lanes & Cocktails","Trickshot AFI Cotroceni: Piste și Cocktailuri",social,
1934,"Trickshot Promenada Rooftop","Trickshot Promenada Rooftop",social,
1935,"KLANdestin: IOR Park View Drinks","KLANdestin: Băuturi cu Vedere la Parcul IOR",social,
1936,"Sports Bar Titan: Billiards & Darts","Sports Bar Titan: Biliard și Darts",social,
1937,"Pura Vida Sky Bar (Old Town)","Pura Vida Sky Bar (Centrul Vechi)",nightlife,
1938,"Halftime Sports Pub (Gabroveni)","Halftime Sports Pub (Gabroveni)",nightlife,
1939,"Evening Lanes at Dinamo Olympic Pool","Ore de Seară la Bazinul Olimpic Dinamo",social,
1940,"Sunset Splash at Magic Place Aqua Park","Stropire la Apus la Magic Place Aqua Park",social,
1941,"Club Swim & Sun at Stejarii Country Club","Club de Înot & Soare la Stejarii Country Club",social,
1942,"After-Work Dip at Daimon Wellness (Tineretului)","Scufundare după Program la Daimon Wellness (Tineretului)",social,
1943,"Laps & Steam at Crowne Plaza ANA Spa","Lungimi & Aburi la Crowne Plaza ANA Spa",social,
1944,"City-Centre Swim at Novotel Wellness","Înot în Centrul Orașului la Novotel Wellness",social,
1945,"Campus Swim at Carol Davila Pool (Cotroceni)","Înot pe Campus la Piscina Carol Davila (Cotroceni)",social,
1946,"Affordable Lengths at Olimpia (Iancului)","Lungimi Accesibile la Olimpia (Iancului)",social,
1947,"Semi-Olympic Session at World Class Mega Mall (Pantelimon)","Sesiune Semi-Olimpică la World Class Mega Mall (Pantelimon)",social,
1948,"Grand Lanes at World Class The Grand (JW Marriott)","Culoare Grandioase la World Class The Grand (JW Marriott)",social,
1949,"Flying Circus Alt Nights","Circul Zburător - Seri Alternative",nightlife,
1950,"Steampunk Cocktails at Joben","Cocktailuri Steampunk la Joben",nightlife,
1951,"D'Arc Unirii Sessions","Sesiunile D'Arc Unirii",nightlife,
1952,"Scârț Loc Lejer Living-Room Lounge","Scârț Loc Lejer - Salonul de Living",social,
1953,"Viniloteca: Wine & Wax Nights","Viniloteca: Seri de Vin și Ceară",nightlife,
1954,"Moszkva Oradea Alt Scene","Scena Alternativă Moszkva din Oradea",nightlife,
1955,"Lokal Oradea Rooftop Sundowners","Lokal Oradea - Apusuri pe Terasă",nightlife,
1956,"Music Pub Sibiu Rock Nights","Music Pub Sibiu - Nopți de Rock",nightlife,
1957,"Underground The Pub: Iași Rock Cellar","Underground The Pub - Pivnița Rock Iași",nightlife,
1958,"Jazz & Blues Club Târgu Mureș","Jazz & Blues Club Târgu Mureș",nightlife,
1959,"EGO Mamaia Beach Club Nights","EGO Mamaia - Nopți de Club pe Plajă",nightlife,
1960,"Expirat Vama Veche Beach Sessions","Expirat Vama Veche - Sesiuni pe Plajă",nightlife,
1961,"Tipografia Culture Bar","Tipografia - Bar Cultural",nightlife,
1962,"Yolka Skybar Sundowners","Yolka Skybar - Apusuri",nightlife,
1963,"VIP Glam Night at BOA - Beat of Angels","Noapte VIP Strălucitoare la BOA - Bătaia Îngerilor",nightlife,
1964,"Premium Party at NOA – Nest of Angels","Petrecere Premium la NOA - Cuibul Îngerilor",nightlife,
1965,"High-End Night at Epic Society","Seara de Lux la Epic Society",nightlife,
1966,"Metal Nights at Rockstadt","Nopți de Metal la Rockstadt",nightlife,
1967,"Live Jazz at Jazz & Blues Club","Jazz Live la Jazz & Blues Club",nightlife,
1968,"Concert Night at Doors Club","Seară de Concert la Doors Club",nightlife,
1969,"Beach Club Night at EGO Mamaia","Seară la Beach Club EGO Mamaia",nightlife,
1970,"Fratelli Beach & Club – House by the Sea","Fratelli Beach & Club – House lângă Mare",nightlife,
1971,"Fratelli Iași – Luxe Mixed Music Night","Fratelli Iași – Seară de Muzică Mixtă de Lux",nightlife,
1972,"Euphoria Music Hall – Big-Room Live & Party","Euphoria Music Hall – Concert Live și Petrecere mare",nightlife,
1973,"Olympic Lanes at Complex Sportiv Otopeni","Bazine Olimpice la Complexul Sportiv Otopeni",fitness,high
1974,"Training Session at Bazinul Olimpic Dinamo","Sesiune de Antrenament la Bazinul Olimpic Dinamo",fitness,high
1975,"Mountain City Laps at Bazinul Olimpic Mihai Mitrofan","Tururi de Bazin înCity-ul Montan la Bazinul Olimpic Mihai Mitrofan",fitness,high
1976,"University Pool at Complexul de Natație UBB","Bazin Universitar la Complexul de Natație UBB",fitness,high
1977,"Technical University Pool at UTCN","Bazin la Universitatea Tehnică UTCN",fitness,high
1978,"Western Training at Bazinul Olimpic Ioan Alexandrescu","Antrenament Vestic la Bazinul Olimpic Ioan Alexandrescu",fitness,high
1979,"Transylvanian Laps at Bazinul Olimpic Târgu Mureș","Ture Transilvane la Bazinul Olimpic Târgu Mureș",fitness,high
1980,"Modern Training at Complex Sportiv City","Antrenament Modern la Complex Sportiv City",fitness,high
1981,"Community Swimming at Bazinul Vega","Înot Comunitar la Bazinul Vega",fitness,medium
1982,"Year-Round Swimming at Aria Aqua Park","Înot pe Tot Parcursul Anului la Aria Aqua Park",fitness,medium
1983,"Premium Club Swimming at World Class Mall Moldova","Înot de Club Premium la World Class Mall Moldova",fitness,high
1984,"Coastal Training at World Class Constanța","Antrenament Coastal la World Class Constanța",fitness,high
1985,"Premium Tennis at Stejarii Country Club","Tenis Premium la Stejarii Country Club",sports,high
1986,"Modern Tennis at Winners Sports Club","Tenis Modern la Winners Sports Club",sports,high
1987,"Coastal Tennis at Tenis Club IDU","Tenis Coastal la Tenis Club IDU",sports,high
1988,"Wellness & Tennis at Pescariu Sports","Wellness & Tenis la Pescariu Sports",sports,high
1989,"Parkside Tennis at North Tennis Herăstrău","Tenis Parkside la North Tennis Herăstrău",sports,high
1990,"Community Tennis at BDK Tennis Herăstrău","Tenis Comunitar la BDK Tennis Herăstrău",sports,high
1991,"National Training at Centrul Național de Tenis","Antrenament Național la Centrul Național de Tenis",sports,high
1992,"Western Tennis at Tenis Timișoara","Tenis Vestic la Tenis Timișoara",sports,high
1993,"Mountain City Tennis at Tenis Arena Brașov","Tenis înCity Mountain la Tenis Arena Brașov",sports,high
1994,"Urban Tennis at Tenis Club AS","Tenis Urban la Tenis Club AS",sports,high
1995,"Moldavian Tennis at Tenis Club Leo","Tenis Moldovenesc la Tenis Club Leo",sports,high
1996,"Modern Tennis at iTENIS Iași","Tenis Modern la iTENIS Iași",sports,high
1997,"Social Badminton at WePlay Brașov","Badminton Social la WePlay Brașov",sports,high
1998,"Competitive Badminton at Badminton Club Cluj","Badminton Competitiv la Badminton Club Cluj",sports,high
1999,"Training & Play at ACS Pro Badminton","Antrenament și Joc la ACS Pro Badminton",sports,high
2000,"Multi-Sport Badminton at AeroSquash Băneasa","Badminton Multi-Sport la AeroSquash Băneasa",sports,high
2001,"Community Badminton at Banu Sport","Badminton Comunitar la Banu Sport",sports,high
2002,"Sports Hall Badminton at Sala STOMART","Badminton în Sala de Sport STOMART",sports,high
2003,"Club Badminton at CSM Timișoara","Badminton Club la CSM Timișoara",sports,high
2004,"Student Club Badminton at Sportul Studențesc","Badminton Club Studențesc la Sportul Studențesc",sports,high
2005,"Professional Cooking at Horeca Culinary School","Gătit Profesional la Horeca Culinary School",culinary,medium
2006,"Hands-On Classes at Cooking Studio","Clase Practice la Cooking Studio",culinary,medium
2007,"Amateur Cooking at Atelierele ILBAH","Gătit pentru Amatori la Atelierele ILBAH",culinary,medium
2008,"Cooking for Beginners at DallesGO","Gătit pentru Începători la DallesGO",culinary,medium
2009,"Gourmet Techniques at Société Gourmet","Tehnici Gastronomice la Société Gourmet",culinary,medium
2010,"Modern Cooking at CulinaryOn România","Gătit Modern la CulinaryOn România",culinary,medium
2011,"Artisan Techniques at Artisan Cooking Classes","Tehnici Artizanale la Artisan Cooking Classes",culinary,medium
2012,"Grill Mastery at Grill Expert Academy","Măiestria Grătarului la Grill Expert Academy",culinary,medium
2013,"Local Cuisine Workshops at My Transylvania","Ateliere de Bucătărie Locală la My Transylvania",culinary,medium
2014,"Culinary Workshops at KUXA Studio","Ateliere Culinare la KUXA Studio",culinary,medium
2015,"Traditional Cookery at Casa Ratiu","Gătit Tradițional la Casa Ratiu",culinary,medium
2016,"French Techniques at Disciples Escoffier","Tehnici Franceze la Disciples Escoffier",culinary,medium
2017,"Professional Chef Training at ICEP Hotel School","Formare Profesională pentru Bucătari la Școala de Hotelărie ICEP",culinary,medium
2018,"Chef Course at ICEP București","Curs de Bucătar la ICEP București",culinary,medium
2019,"Culinary Masterclass at Horeca School","Masterclass Culinar la Horeca School",culinary,medium
2020,"Pastry Courses at SIMPA Sibiu","Cursuri de Patiserie la SIMPA Sibiu",culinary,medium
