slug,name,category,subtypes,description,city,region,latitude,longitude,duration_min,duration_max,seasonality,indoor_outdoor,energy_level,tags_experience_level,tags_mood,tags_terrain,tags_equipment,tags_context,tags_requirement,tags_risk_level,tags_weather_fit,tags_time_of_day,tags_travel_time_band,tags_skills,tags_cost_band,hero_image_url,source_url,notes
cluj-barista-basics,Barista Basics Workshop (Cluj),learning,"coffee,class","Hands-on session covering espresso dialing, milk steaming, and latte art basics at a specialty roastery's training lab. Ideal for home enthusiasts and aspiring baristas.",Cluj-Napoca,Cluj,46.7715,23.5929,120,150,all,indoor,medium,beginner,"creative,explorer","urban",provided,"solo,small-group","booking-required",low,all_weather,"morning,afternoon",in-city,none_required,$$,,https://academy.meron.coffee/,"Meron Academy schedule"
sibiu-cooking-class,Sibiu Traditional Cooking Class,learning,"cooking_class,market","Shop for seasonal ingredients then cook a traditional menu with a local chef. Learn techniques, plating, and regional stories before sharing the meal together.",Sibiu,Sibiu,45.7926,24.1513,180,240,all,indoor,medium,beginner,"creative,cozy,romantic","urban,market",provided,"date,small-group","booking-required",low,all_weather,"morning,afternoon",in-city,"technique,none_required",$$$,,https://sibiufoodtours.com/,"Private classes on request"
bucharest-wine-introduction-class,Intro to Romanian Wine (Bucharest),learning,"wine_tasting,class","Taste through key Romanian grapes—Fetească Albă, Fetească Neagră, Tămâioasă—while learning wine structure, aroma wheels, and food pairing basics with a sommelier.",Bucharest,București,44.4435,26.0978,90,120,all,indoor,chill,beginner,"creative,relaxed","urban",provided,"date,small-group","booking-required",low,all_weather,evening,in-city,none_required,$$,,https://wineful.ro/,"Wine bar masterclasses; check dates"
bucharest-mindfulness-soundbath,Sound Bath & Breathwork (Bucharest),mindfulness,"sound_healing,breathwork","Slow down with a facilitator-led session using crystal bowls and gentle breath techniques to release stress and improve sleep. Mats and blankets provided; no experience needed.",Bucharest,București,44.4428,26.1001,60,90,all,indoor,chill,beginner,"mindful,relaxed","urban",provided,"solo,small-group","booking-required",low,all_weather,evening,in-city,none_required,$$,,https://yoginovate.ro/,"Workshops scheduled monthly"
turda-saltmine-halotherapy,Halotherapy & Mindful Walk – Turda Salt Mine,mindfulness,"salt_therapy,wellness","Descend into the otherworldly chambers of Salina Turda for clean, mineral-rich air. Stroll the galleries, sit in quiet corners for mindful breathing, and enjoy the subterranean lake views.",Turda,Cluj,46.5874,23.7876,90,150,all,either,chill,beginner,"mindful,relaxed,explorer","cave,urban",none,"solo,family,small-group","booking-optional",low,cold_friendly,daytime,day-trip,none_required,$$,,https://salinaturda.eu/,"Tickets at entrance"
praid-saltmine-wellness,Salt Mine Wellness Session – Praid,mindfulness,"salt_therapy,wellness","Ride underground buses to vast chambers fitted with relaxation areas and playgrounds. Breathe deeply during a guided stretch or quiet meditation to benefit from the saline microclimate.",Praid,Harghita,46.5528,25.1265,120,180,all,either,chill,beginner,"mindful,relaxed","cave,valley",none,"family,solo","booking-optional",low,cold_friendly,daytime,day-trip,none_required,$,,https://salinapraid.ro/,"Seasonal hours vary"
therme-sauna-rituals,Therme Sauna Rituals & Mindful Heat,mindfulness,"sauna,aufguss","Join a curated series of sauna rituals (aufguss) with scented steam, guided breathing, and cool-down cycles to deepen relaxation. Rotate hot/cold exposure for a meditative reset.",Balotești,Ilfov,44.6054,26.0806,90,150,all,indoor,chill,beginner,"mindful,relaxed","resort,urban",provided,"solo,date,small-group","booking-optional",low,all_weather,evening,nearby,none_required,$$,,https://therme.ro/en/,"Check ritual schedule"
eforie-ana-aslan-spa-day,Ana Aslan Health Spa Day – Eforie Nord,wellness,"spa,balneary","Rejuvenate with seawater pools, mud packs, and tailored therapies at a historic Black Sea balneary center. Combine beach time with a focused wellness session or package.",Eforie Nord,Constanța,44.0697,28.6336,120,240,summer,indoor,chill,beginner,"relaxed,cozy","coast,resort",provided,"solo,date","booking-required",low,heat_sensitive,"daytime,evening",day-trip,none_required,$$$,,https://www.anahotels.ro/en/hotels/europa-eforie-nord,"Medical consults available"
eforie-aqvatonic-spa-pass,Aqvatonic Med Spa Pass – Eforie Nord,wellness,"spa,thermal_pool","Follow a hydrotherapy circuit through underwater jets, cascades, and saunas at a dedicated med-spa by the sea. Family-friendly slots and adult-only times available.",Eforie Nord,Constanța,44.0621,28.6305,120,180,summer,indoor,medium,beginner,"relaxed,cozy","coast,resort",provided,"family,solo,date","booking-optional",low,heat_sensitive,"daytime,evening",day-trip,none_required,$$,,https://aqvatonic.ro/,"Steaua de Mare complex"
potcoava-horseback-trail-leaota,Leaota Mountain Horseback Trail Ride,nature,"horseback,trail_ride","Ride calm, well-trained horses across forest tracks and alpine meadows with panoramic Leaota views. Guides match routes to ability; helmets provided. Great nature fix within reach of Bucharest.",Runcu,Dâmbovița,45.2452,25.3027,90,180,shoulder,outdoor,medium,beginner,"explorer,romantic,relaxed","forest,mountain,valley",helmet,"small-group,date","guide-required,booking-required",moderate,wind_sensitive,"daytime,sunset",day-trip,"balance,none_required",$$$,,https://potcoava.ro/,"Potcoava Mountain Hideout ranch"
bucegi-babele-sphinx-hike,Bucegi Plateau Hike: Babele & Sphinx,nature,"hiking,scenic","Ride the cable car then cross the wind-shaped plateau to the Babele huts and iconic Sphinx rock. A guide sets an easy pace, explains geology and legends, and manages weather calls.",Bușteni,Prahova,45.4141,25.5166,180,300,shoulder,outdoor,medium,beginner,"explorer,adventurous","mountain,forest",none,"small-group,group","guide-recommended,booking-required",moderate,wind_sensitive,"daytime",day-trip,"endurance,none_required",$$,,https://www.getyourguide.com/bucharest-l111/bucegi-tours-tc1117/,"Weather-dependent cable car"
apuseni-ice-cave-tour,Scărișoara Ice Cave & Apuseni Views,nature,"cave,hiking","Head into Apuseni to visit one of the world's largest underground glaciers, then walk to viewpoints over karst valleys. Entrances are managed; guides handle timing and access.",Gârda de Sus,Alba,46.4934,22.8118,300,480,shoulder,outdoor,medium,beginner,"explorer,creative","mountain,cave,valley",none,"small-group","guide-required,booking-required",moderate,cold_friendly,daytime,day-trip,"navigation,none_required",$$$,,https://apuseni-experience.ro/,"Road conditions vary"
cheile-turzii-hike,Cheile Turzii Gorge Guided Hike,nature,"hiking,geology","Follow a spectacular limestone gorge with suspension bridges and wildflower meadows. Your guide shares geology and local stories, with optional photo stops on scenic ledges.",Tureni,Cluj,46.5546,23.7220,150,210,shoulder,outdoor,medium,beginner,"explorer,adventurous","valley,forest,mountain",none,"small-group,solo","guide-recommended,booking-required",moderate,wind_sensitive,daytime,day-trip,"endurance,none_required",$$,,https://www.getyourguide.com/cluj-napoca-l32107/day-trips-tc172/,"Spring–autumn best"
retezat-day-hike,Retezat National Park Day Hike,nature,"hiking,alpine_lakes","Tackle a classic trail past glacial lakes under jagged peaks in one of Romania's wildest parks. A licensed mountain guide sets pace and route, adjusting to group ability.",Râușor,Hunedoara,45.3965,22.8576,360,540,shoulder,outdoor,high,intermediate,"adventurous,explorer","mountain,lake",none,"small-group","guide-required,booking-required",exposed,wind_sensitive,daytime,overnight,"endurance,navigation",$$$,,https://romania-active.com/; https://muntiinostri.ro/,"Hardy footwear essential"
viscri-bike-pastures,Viscri Pastures Bike & Haystack Walk,nature,"cycling,walking","Pedal quiet lanes around UNESCO-listed Viscri, stopping for haystack views and village life. Option to switch to an easy pastoral walk if you prefer on-foot exploration.",Viscri,Brașov,46.0532,25.0909,120,210,summer,outdoor,medium,beginner,"relaxed,explorer","hill,valley,urban",provided,"small-group,family","booking-recommended",low,heat_sensitive,"daytime,sunset",day-trip,"balance,none_required",$$,,https://www.viscri125.ro/,"Bike rentals available"
bucharest-board-game-night-old-town,Board Game Night in Bucharest Old Town,social,"board_games,cafe,meetup","Grab a table, pick from hundreds of titles, and spend an evening learning new games with friendly locals. Staff help match groups and explain rules, so beginners feel welcome. It's a super social way to meet people and unwind after work in the lively streets of the Old Town.",Bucharest,București,44.4310,26.1030,120,240,all,indoor,medium,beginner,"social,cozy,creative","urban",provided,"friends,group,solo","booking-optional",low,all_weather,"evening,night",in-city,none_required,$$,,https://waze.com/ul/hd1u0g1q8p https://www.facebook.com/snwboardgames/,Bucharest Geek Hub + Snakes & Wizards board game cafés
bucharest-pub-quiz-night,Pub Quiz Night in the Old Town (Mojo & The PUB),social,"trivia,live_music,bar","Test your knowledge in English-language quizzes with picture rounds, music, and prizes. Reserve a team table, enjoy pub grub and beers, and compete against expat and local teams. Fun, friendly rivalry in two centrally located venues with weekly schedules.",Bucharest,București,44.4327,26.1037,120,180,all,indoor,medium,mixed,"social,adventurous,creative","urban",none,"friends,group","booking-recommended",low,all_weather,"evening,night",in-city,none_required,$$,,https://www.instagram.com/bigbritishbucharestquiz/ https://www.the-pub.ro/,Mojo Music Club (Lipscani) & The PUB Universității host regular quiz nights
bucharest-escape-room-marathon,Escape Room Marathon (Central Bucharest),social,"escape_room,puzzles,team_game","Race the clock through immersive themed rooms—solve clues, open locks, and crack story-driven puzzles. Choose spooky, fantasy, or thriller scenarios. Great for small groups, team bonding, or date nights. Book back-to-back rooms to turn the challenge into a friendly tournament.",Bucharest,București,44.4411,26.1008,60,100,all,indoor,medium,mixed,"social,adventurous,creative","urban",none,"friends,group,small-group","booking-required",low,all_weather,"evening,daytime",in-city,technique,$$,,https://thevoid.ro/en/ https://insiderooms.ro/,The Void (Pitar Moș 21) & Inside Rooms (Matei Basarab 48)
bucharest-language-exchange-social,Bucharest Language Exchange Social,social,"language_exchange,meetup,conversation","Practice languages with an international crowd at rotating city-centre bars. Color-coded stickers help match levels and interests. Hosts facilitate icebreakers so newcomers slip right in. A low-pressure way to make friends and keep your speaking skills sharp.",Bucharest,București,44.4330,26.1030,120,180,all,either,chill,beginner,"social,explorer,relaxed","urban",none,"solo,group,friends","booking-optional",low,all_weather,"evening,night",in-city,none_required,$,,https://www.meetup.com/topics/international-friends/ro/,Meetup groups incl. Chatty Elephants & other international socials in Bucharest
bucharest-rooftop-dinner-nor,NOR Sky Rooftop Dinner for Two,romance,"rooftop_dining,skybar,fine_dining","Clink glasses 136 meters above the city at SkyTower's NOR Sky. Panoramic windows, creative Romanian-inspired dishes, and a moody skyline make it a memorable date night. Book a window table for sunset and linger over dessert as the city lights come on.",Bucharest,București,44.4786,26.1128,90,150,all,indoor,chill,beginner,"romantic,cozy,creative","urban",none,"date,small-group","booking-required",low,all_weather,"sunset,night",in-city,none_required,$$$,,https://waze.com/ul/hd1u0f0r7w https://norbucharest.ro/,SkyTower location & restaurant sites
bucharest-rooftop-cocktails-linea,Rooftop Cocktails at Linea/Closer to the Moon,romance,"rooftop_bar,cocktails,viewpoint","Sip signature cocktails under fairy lights at one of the city's most photogenic rooftops. The vibe is relaxed and stylish, with a busy weekend scene and seasonal pop-ups. Ideal for golden-hour photos and a cozy date above the Old Town bustle.",Bucharest,București,44.4326,26.0984,60,150,shoulder,indoor,medium,beginner,"romantic,cozy,social","urban",none,"date,friends,small-group","booking-recommended",low,ok_in_rain,"sunset,night",in-city,none_required,$$,,https://www.rooftopguide.com/rooftop-bars-in-bucharest/linea-closer-to-the-moon.html https://booklinea.ro/,Rooftop Guide & Linea booking
herastrau-private-boat-cruise,Private Boat Ride on Herăstrău Lake,romance,"boat_tour,lake,photography","Glide past leafy shores and landmark bridges on a private boat around Herăstrău. Choose a daytime spin or a golden-hour cruise with a bottle of bubbly. Calm waters, city-park scenery, and plenty of photo stops make it a relaxed, romantic escape.",Bucharest,București,44.4765,26.0865,45,90,summer,outdoor,chill,beginner,"romantic,relaxed,cozy","lake,urban",provided,"date,small-group","booking-required",low,wind_sensitive,"daytime,sunset",in-city,none_required,$$,,https://www.facebook.com/lastunul/,'LaȘtunul' Herăstrău boats (Aviatorilor entrance)
snagov-private-boat-cruise,Private Snagov Lake Boat Cruise,romance,"boat_tour,lake,nature","Escape the city for smooth waters and quiet bays on Snagov Lake. Private skippers tailor routes for sunset views, birdlife spotting, or a stop by Snagov Monastery. Add a picnic or prosecco for an elevated date-day vibe.",Snagov,Ilfov,44.6958,26.1884,60,120,summer,outdoor,chill,beginner,"romantic,relaxed,explorer","lake,resort,forest",provided,"date,small-group","booking-required",low,wind_sensitive,"daytime,sunset",day-trip,none_required,$$,,https://snagovclub.ro/ro/,Snagov Club boat experiences
bucharest-couples-photoshoot-old-town,Couples' Photoshoot in Old Town,romance,"photography,walking_tour,private","Stroll Lipscani's cobbles with a pro photographer who knows the best murals, courtyards, and golden-hour angles. You'll get edited images for your feed or a keepsake album—perfect after an engagement dinner or as a surprise gift.",Bucharest,București,44.4323,26.1063,60,90,all,outdoor,chill,beginner,"romantic,creative,cozy","urban",camera,"date,small-group","booking-required",low,ok_in_rain,"daytime,sunset",in-city,none_required,$$,,https://www.getyourguide.com/bucharest-l111/couples-photoshoot-bucharest-t1232716/ https://www.localgrapher.com/photo-session/bucharest/,GYG & Localgrapher pages
edenland-park-adventure,Edenland Park Zipline & Aerial Courses,adventure,"adventure_park,zipline,tree_top","Tackle progressive aerial routes, giant ziplines, and add-ons like archery or paintball in a forest park just north of Bucharest. Helmets/harness included and staff brief you on safety. Great for families and groups; book weekends in advance.",Balotești,Ilfov,44.6544,26.1000,120,240,shoulder,outdoor,high,beginner,"adrenaline,adventurous,social","forest,resort",helmet,"family,group,friends","booking-required",moderate,wind_sensitive,daytime,nearby,balance,$$,,https://www.edenland.ro/activities-and-costs/,Edenland site with coordinates
comana-adventure-park,Comana Adventure Park & Kayak,adventure,"adventure_park,zipline,kayak","Spend a day in Comana Natural Park: tree-top courses, ziplines, boat or kayak in wetlands, and cycling paths. On-site eateries and shady areas make it a relaxed yet active escape. Ideal for mixed-ability groups and families.",Comana,Giurgiu,44.1150,26.1460,120,300,shoulder,outdoor,medium,mixed,"explorer,adventurous,social","forest,lake,delta",provided,"family,group,friends","booking-recommended",low,wind_sensitive,daytime,day-trip,technique,$$,,https://www.tripadvisor.com/Attraction_Review-g3178819-d3152343-Reviews-Comana_Nature_Park-Comana.html https://www.facebook.com/parcaventuracomana/,TripAdvisor & official FB
clinceni-tandem-skydiving,Tandem Skydiving at Clinceni Airfield,adventure,"skydiving,tandem,freefall","Take the leap over Bucharest's outskirts with an experienced tandem instructor. Briefing, harness, and goggles provided; add photos or video at booking. Expect a scenic plane ride, one unforgettable minute of freefall, and a smooth canopy glide.",Clinceni,Ilfov,44.3590,25.9420,120,180,summer,outdoor,high,beginner,"adrenaline,adventurous,explorer","valley,urban",provided,"solo,small-group","booking-required",high,wind_sensitive,daytime,day-trip,none_required,$$$,,https://www.tnt-brothers.ro/en/homepage/ https://aeroclubulromaniei.ro/,TNT Brothers & Aeroclub info
bucharest-squash-session,Squash Session & Coaching (Central-East),sports,"squash,indoor_sport,coaching","Book a court or a coaching hour on modern WSF-spec courts. Great cardio, easy to learn, and super social in doubles or mini-tournaments. Equipment hire available; bring indoor shoes. Good for after-work sweat sessions.",Bucharest,București,44.4160,26.1460,60,90,all,indoor,high,beginner,"adventurous,social,creative","urban",racket,"solo,friends,group","booking-required",low,all_weather,evening,in-city,technique,$$,,https://squash4all.ro/booking/,Squash4All booking
bucharest-badminton-session,Badminton Courts & Group Play (Sun Plaza),sports,"badminton,club,coaching","Fast rallies, friendly ladders, and inclusive beginner training—Badminton Armada runs daily sessions beneath Sun Plaza. Reserve a court online or join coached groups. Rackets available to rent; wear non-marking shoes.",Bucharest,București,44.4070,26.1170,60,120,all,indoor,medium,beginner,"social,explorer,adventurous","urban",racket,"solo,group,friends","booking-required",low,all_weather,evening,in-city,technique,$$,,https://badmintonarmada.ro/rezervari/,Official reservations
cotroceni-ice-skating-session,Ice Skating Session (AFI Cotroceni),sports,"ice_skating,public_session,rental","Lace up for open sessions at Bucharest's year-round mall rink. Rent skates on site, loop to upbeat tracks, or book a coaching lesson. Family-friendly with lockers and cafés nearby—great rainy-day cardio.",Bucharest,București,44.4322,26.0608,60,90,winter,indoor,medium,beginner,"social,cozy,adventurous","urban,resort",rental-gear,"family,friends,group","booking-optional",low,all_weather,"daytime,evening",in-city,balance,$$,,https://patinoarafi.ro/en/home/,Cotroceni on Ice official
bucharest-archery-intro,Beginner Archery Class (Sector 5 Range),sports,"archery,lesson,range","Learn stance, draw, and release with certified coaches at an indoor urban range. All equipment is provided, and classes suit ages 12+. A calm, focus-building sport that's surprisingly addictive and a great alternative workout.",Bucharest,București,44.4100,26.0700,60,90,all,indoor,medium,beginner,"mindful,creative,explorer","urban",provided,"solo,small-group,friends","booking-required",low,all_weather,daytime,in-city,technique,$$,,https://whitetigerarchery.ro/en/,White Tiger Archery contact & booking
karaoke-night-mojo-bucharest,Karaoke Night at Mojo Music Club,social,"karaoke,live_music","Grab a mic in Bucharest's Old Town and sing your heart out at Mojo—Romania's original seven-nights-a-week karaoke institution. Multiple bars, a big song catalog, and friendly hosts keep the energy high through late hours. Perfect for groups, meetups, and new friends in the city.",Bucharest,București,44.4318,26.1009,120,300,all,indoor,high,beginner,"social,adrenaline",urban,none,"friends,group,solo","booking-optional,none",low,all_weather,"evening,night",in-city,none_required,$$,,https://mojomusic.ro/,Phone on site; Old Town location
bowling-billiards-trickshot,Fun Bowling & Billiards at Trickshot,social,"bowling,billiards,arcade","Mix games, great music, and a lively crowd at Trickshot's glossy bowling lounges. Reserve lanes for teams, grab craft cocktails and snacks, and challenge friends at billiards and arcade cabinets. A quintessential social night out with easy online/phone booking.",Bucharest,București,44.4787,26.1018,60,180,all,indoor,medium,beginner,"social,relaxed",urban,none,"friends,group,team",booking-required,low,all_weather,"evening,night",in-city,none_required,$$,,https://trickshot.ro/en/trickshot-promenada/,Promenada & Mega Mall locations; phone on site
vr-arena-gateway-bucharest,Free-Roam VR Arena & Escape Games (Gateway VR),social,"vr_arena,vr_escape_room,gaming","Step into a free-roam VR arena and cooperative escape games at Gateway VR Studio. Battle zombies, crack Ubisoft-style VR puzzles, or race simulators. Staff guide first-timers, making it perfect for groups, team socials, and birthdays.",Bucharest,București,44.4805,26.0555,60,120,all,indoor,medium,mixed,"social,adrenaline,creative",urban,provided,"friends,group,small-group","booking-required,guide-optional",low,all_weather,"evening,daytime",in-city,none_required,$$,,https://vrstudio.ro/en/,Address/phone on site
escape-room-quest-bucharest,Immersive Escape Room Adventure,social,"escape_room,puzzle","Race the clock as a team inside cinematic sets. Choose themes from Indiana Jones to horror at top venues; expect tactile puzzles, hidden mechanisms, and great set design. Ideal for friends or coworkers looking for a shared triumph.",Bucharest,București,44.4401,26.1011,60,90,all,indoor,medium,mixed,"social,explorer",urban,none,"friends,group,team",booking-required,low,all_weather,"evening,daytime",in-city,technique,$$,,https://escapearena.ro/en/,Use either Escape Arena or The Void
candlelight-concerts-bucharest,Romantic Candlelight Concert (Fever),romance,"live_music,classical","Hundreds of candles, intimate venues, and string quartets covering classical and modern hits. Candlelight events pop up around Bucharest's most atmospheric halls—perfect for a date night with effortless booking and assigned seating.",Bucharest,București,44.4350,26.1025,60,90,all,indoor,chill,beginner,"romantic,cozy",urban,none,"date,small-group",booking-required,low,all_weather,"evening,night",in-city,none_required,$$,,https://feverup.com/en/bucharest/candlelight,Rotating venues; check listing
stargazing-urseanu-observatory,Stargazing at Vasile Urseanu Observatory,romance,"stargazing,astronomy_tour","Peer through telescopes on guided public nights at Bucharest's historic observatory. Staff point out planets, double stars, and seasonal constellations, with occasional rooftop views and exhibits. A quiet, inspiring date option in the city.",Bucharest,București,44.4465,26.0969,60,120,shoulder,either,chill,beginner,"romantic,mindful,explorer",urban,none,"date,small-group,solo","booking-optional,none",low,wind_sensitive,"evening,night",in-city,none_required,$,,https://observator.astronomiei.ro/,Check program nights
herastrau-lake-boat-ride,Boat Ride on Herăstrău Lake,romance,"boat_rental,hydrobike","Glide across Herăstrău Lake by rowboat, pedalo, or join a mini-cruise. Central docks operate spring–autumn with simple on-site tickets—sunset sessions are especially scenic. A relaxed, wallet-friendly date or friends' hangout.",Bucharest,București,44.4721,26.0822,30,60,summer,outdoor,chill,beginner,"romantic,relaxed","lake,urban",provided,"date,friends,small-group","booking-optional,none",low,wind_sensitive,"daytime,sunset",in-city,none_required,$,,https://alpab.ro/servicii-agrement/,ALPAB official tariffs
karting-bucharest,Go-Karting: VMAX (Indoor) or AMCKart (Outdoor),adventure,karting,"Chase lap times on Bucharest's most popular tracks. Indoors, VMAX Romexpo runs torquey electric karts on a multi-level track; outdoors, AMCKart Tunari offers long straights and night sessions. Arrive & drive or book events for groups.",Bucharest,București,44.4733,26.0769,10,60,all,either,high,mixed,"adrenaline,adventurous,social",urban,provided,"friends,group,team","booking-optional,lesson-recommended",moderate,all_weather,"daytime,evening",in-city,balance,$$,,https://vmaxromexpo.ro/,Helmet/cagoule provided or rentable
indoor-climbing-bucharest,Indoor Climbing Session (Top-rope & Bouldering),adventure,"climbing_gym,belay_class","Learn knots, belay, and movement on varied walls with rental gear available. Suitable for first-timers or training sessions, with intro classes and auto-belays at leading gyms. Great cross-training and a social way to get active.",Bucharest,București,44.4500,26.1480,60,120,all,indoor,medium,mixed,"adventurous,explorer",urban,rental-gear,"friends,solo,group","booking-optional,lesson-recommended",low,all_weather,"daytime,evening",in-city,balance,$$,,https://verticalspirit.ro/,Use Vertical Spirit / Climb Again
laser-tag-bucharest,Laser Tag Battles,sports,"laser_tag,arena","Fast-paced team matches with vests, scoreboards, and neon mazes. Ideal for office outings or birthdays; most venues offer private games, party rooms, and simple per-session pricing.",Bucharest,București,44.3985,26.1305,30,90,all,indoor,high,beginner,"adrenaline,social",urban,provided,"friends,group,team",booking-required,low,all_weather,"evening,daytime",in-city,technique,$$,,https://lasermaxx.ro/,Multiple arenas citywide
padel-romexpo,Padel Court Booking (Romexpo Area),sports,"padel,court_booking","Book doubles at modern indoor/outdoor padel courts near Romexpo. Rackets and balls are rentable; many clubs run beginner socials, ladders, and coaching. Easy to reach from the north side business district.",Bucharest,București,44.4765,26.0710,60,90,all,either,medium,mixed,"social,adventurous",urban,rental-gear,"friends,group,small-group",booking-required,low,all_weather,"evening,daytime",in-city,balance,$$,,https://playtomic.io/padelx-romexpo-bucharest/venues,Use Playtomic to book courts
five-a-side-football-bucharest,5-a-Side Football Pitch Hire (South),sports,"football,5aside","Round up friends and rent a FIFA-sized 5-a-side pitch with lights and quality turf in the city's south. Book recurring slots, add changing rooms, and optionally hire a referee for mini-leagues.",Bucharest,București,44.3941,26.1315,60,120,all,outdoor,high,mixed,"social,adrenaline",urban,none,"friends,team,group",booking-required,low,all_weather,"evening,night",in-city,endurance,$$,,https://argman.ro/,Near Vitan-Bârzești; multiple pitches
